NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,DP05_0070E,DP02_0056E,DP02_0057E,DP04_0091E,DP03_0119PE
Geographic Area Name,Total Population,Average Family Size,LOTE,Mean Travel Time to Work,hispanic or latino,high school enrollment,college or graduate school enrollment,median mortgage status of owners with mortgage,Percent In Poverty
"Boys Ranch CDP, Texas",480,2.63,74,3.9,480,91,11,0,0
"Guthrie CDP, Texas",184,3.9,13,10.7,184,8,0,2,0
"Gail CDP, Texas",232,3.21,59,29.2,232,18,11,9,0
"Bartonville town, Texas",2038,3.6,227,30.5,2038,160,70,361,3.1
"Annetta North town, Texas",559,3.04,15,29.8,559,44,14,126,0
"Pleasanton city, Texas",10309,3.38,2644,27.6,10309,347,313,1199,15.9
"Fairchilds village, Texas",888,3.43,160,33,888,33,41,129,1.3
"Sour Lake city, Texas",1901,3,95,27.2,1901,75,64,245,4.4
"Quitman city, Texas",2236,3.06,36,27.2,2236,90,85,274,14.3
"Midway South CDP, Texas",2739,4.99,2014,25.8,2739,168,103,198,29.1
"Kempner city, Texas",1157,3.06,165,35.3,1157,79,75,184,11
"Payne Springs town, Texas",704,2.86,23,34.5,704,37,21,90,9
"Taft Southwest CDP, Texas",994,4.04,543,20.7,994,79,20,45,31.5
"Spade CDP, Texas",124,2.92,40,N,124,0,9,12,16.2
"Woodville town, Texas",2483,3.24,159,26.2,2483,142,46,201,17.8
"Airport Road Addition CDP, Texas",261,5.8,149,N,261,29,0,0,15.6
"Eureka city, Texas",341,3.24,30,29.1,341,45,18,53,9.3
"Joaquin city, Texas",896,3.44,43,33.2,896,50,31,76,17.7
"Refugio town, Texas",2861,3.3,816,19.2,2861,157,67,199,14.8
"Cantu Addition CDP, Texas",130,4.07,72,N,130,32,7,0,25.9
"Red Oak city, Texas",11993,3.43,1853,30.6,11993,869,634,1849,4.2
"Toyah town, Texas",114,3.68,44,35,114,0,4,5,29
"Kermit city, Texas",6405,3.75,2303,19.4,6405,467,116,338,17.6
"Sanderson CDP, Texas",616,3.04,354,32.4,616,22,14,55,14.1
"Reklaw city, Texas",404,3.31,62,22.8,404,30,28,45,17.6
"Cushing city, Texas",483,2.78,36,31.5,483,15,62,38,10.1
"Dickinson city, Texas",19874,3.3,4104,29.5,19874,1021,1019,2796,10.6
"Pearsall city, Texas",10111,4.42,5920,14.9,10111,633,216,603,20.3
"Evant town, Texas",500,3.28,91,31.3,500,37,2,31,20.6
"Andrews city, Texas",13333,3.79,5509,19.3,13333,894,208,1325,13.3
"Groom town, Texas",721,3.13,26,19.9,721,66,12,89,6.8
"Skellytown town, Texas",486,3.09,33,24.9,486,19,9,24,1.7
